Authority,associatedReferences,Source Type,Source,Version,Reference Author,Title,Publication Name,Listed Publication Date,Publisher,Publication Place,ISBN,ISSN,Pages,Publication Remarks
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021csp),https://plants.usda.gov/home/plantProfile?symbol=LYJA,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021csq),https://plants.usda.gov/home/plantProfile?symbol=LYMI,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021csr),https://plants.usda.gov/home/plantProfile?symbol=LYSA5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021css),https://plants.usda.gov/home/plantProfile?symbol=LYBA3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cst),https://plants.usda.gov/home/plantProfile?symbol=LYCL2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021csu),https://plants.usda.gov/home/plantProfile?symbol=LYJA2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021csv),https://plants.usda.gov/home/plantProfile?symbol=LYNU,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021csw),https://plants.usda.gov/home/plantProfile?symbol=LYPU2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021csx),https://plants.usda.gov/home/plantProfile?symbol=LYVU,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021csy),https://plants.usda.gov/home/plantProfile?symbol=LYHY3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021csz),https://plants.usda.gov/home/plantProfile?symbol=LYMA3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ct),https://plants.usda.gov/home/plantProfile?symbol=AEHI,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cta),https://plants.usda.gov/home/plantProfile?symbol=LYPO4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctb),https://plants.usda.gov/home/plantProfile?symbol=LYSA2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctc),https://plants.usda.gov/home/plantProfile?symbol=LYTH5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctd),https://plants.usda.gov/home/plantProfile?symbol=LYTR2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cte),https://plants.usda.gov/home/plantProfile?symbol=LYVI3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctf),https://plants.usda.gov/home/plantProfile?symbol=MAMA28,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctg),https://plants.usda.gov/home/plantProfile?symbol=MATA3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cth),https://plants.usda.gov/home/plantProfile?symbol=MACO10,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cti),https://plants.usda.gov/home/plantProfile?symbol=CUTR2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctj),https://plants.usda.gov/home/plantProfile?symbol=MAAT80,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctk),https://plants.usda.gov/home/plantProfile?symbol=MAGI2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctl),https://plants.usda.gov/home/plantProfile?symbol=MALA9,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctm),https://plants.usda.gov/home/plantProfile?symbol=MATO3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctn),https://plants.usda.gov/home/plantProfile?symbol=MAGL2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cto),https://plants.usda.gov/home/plantProfile?symbol=MASA,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctp),https://plants.usda.gov/home/plantProfile?symbol=MAKO,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctq),https://plants.usda.gov/home/plantProfile?symbol=MAST6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctr),https://plants.usda.gov/home/plantProfile?symbol=MAAL4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cts),https://plants.usda.gov/home/plantProfile?symbol=MAMA4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctt),https://plants.usda.gov/home/plantProfile?symbol=MACR3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctu),https://plants.usda.gov/home/plantProfile?symbol=MAPH4,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctv),https://plants.usda.gov/home/plantProfile?symbol=MACO11,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctw),https://plants.usda.gov/home/plantProfile?symbol=MAEM,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctx),https://plants.usda.gov/home/plantProfile?symbol=MABA,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cty),https://plants.usda.gov/home/plantProfile?symbol=MACO5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021ctz),https://plants.usda.gov/home/plantProfile?symbol=MAFL80,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cu),https://plants.usda.gov/home/plantProfile?symbol=AEAR5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cua),https://plants.usda.gov/home/plantProfile?symbol=MAHA7,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cub),https://plants.usda.gov/home/plantProfile?symbol=MAHU2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuc),https://plants.usda.gov/home/plantProfile?symbol=MAPR,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cud),https://plants.usda.gov/home/plantProfile?symbol=MAPU,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cue),https://plants.usda.gov/home/plantProfile?symbol=MATO6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuf),https://plants.usda.gov/home/plantProfile?symbol=MASP9,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cug),https://plants.usda.gov/home/plantProfile?symbol=MAAR7,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuh),https://plants.usda.gov/home/plantProfile?symbol=MADA5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cui),https://plants.usda.gov/home/plantProfile?symbol=MAMA29,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuj),https://plants.usda.gov/home/plantProfile?symbol=MAPU14,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuk),https://plants.usda.gov/home/plantProfile?symbol=MARO10,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cul),https://plants.usda.gov/home/plantProfile?symbol=MASO3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cum),https://plants.usda.gov/home/plantProfile?symbol=MAZU2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cun),https://plants.usda.gov/home/plantProfile?symbol=MAAL,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuo),https://plants.usda.gov/home/plantProfile?symbol=LAAR2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cup),https://plants.usda.gov/home/plantProfile?symbol=MAMO2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuq),https://plants.usda.gov/home/plantProfile?symbol=LACR,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cur),https://plants.usda.gov/home/plantProfile?symbol=MANE,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cus),https://plants.usda.gov/home/plantProfile?symbol=MANI2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cut),https://plants.usda.gov/home/plantProfile?symbol=MAPA5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuu),https://plants.usda.gov/home/plantProfile?symbol=MAPU5,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuv),https://plants.usda.gov/home/plantProfile?symbol=MASY,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuw),https://plants.usda.gov/home/plantProfile?symbol=MAVE,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cux),https://plants.usda.gov/home/plantProfile?symbol=MAAM,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuy),https://plants.usda.gov/home/plantProfile?symbol=MACO6,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cuz),https://plants.usda.gov/home/plantProfile?symbol=MAAR14,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cv),https://plants.usda.gov/home/plantProfile?symbol=AECY2,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cva),https://plants.usda.gov/home/plantProfile?symbol=MAARA,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvb),https://plants.usda.gov/home/plantProfile?symbol=MAPE3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
USDA Natural Resources Conservation Service (NRCS) PLANTS Database (2021cvc),https://plants.usda.gov/home/plantProfile?symbol=MAIN3,Database,U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS),2021,"National Plant Data Team, USDA and NRCS",The PLANTS Database,The PLANTS Database,2021-01-01,"U.S. Department of Agriculture (USDA), Natural Resources Conservation Service (NRCS)","Greensboro, North Carolina",,,,
